objid,type,ra,dec,u,g,r,i,z,redshift
1237671939804561466,GALAXY,258.145361455718,64.0707039438434,17.94412,15.42686,14.45415,13.74438,13.69301,Null
1237671939804561468,GALAXY,258.096472700569,64.0325247452408,19.7303,17.55445,16.54338,16.11172,15.77803,0.07981008
1237671939804561470,GALAXY,258.208366368167,64.0529482075762,19.19729,16.99064,16.03191,15.5874,15.33404,0.07395603
1237671939804561471,GALAXY,258.066004076079,64.072576665212,19.71658,17.58377,16.64898,16.19922,15.90152,Null
1237671939804561474,GALAXY,258.067495313237,64.0367718630912,19.86892,17.792,16.80831,16.36035,16.00596,Null
1237671939804561475,GALAXY,258.213356606074,64.0731695719281,19.22808,17.19313,16.26248,15.74695,15.4874,0.07390364
1237671939804561476,GALAXY,258.119946056903,64.060748283265,17.3246,14.93716,14.03668,13.56315,13.3306,0.07343803
1237671939804561480,GALAXY,258.106954648772,64.0654283848563,19.5965,17.79084,16.8632,16.40177,16.09486,Null
1237671939804561489,GALAXY,258.143930284315,64.0533776888564,20.96467,18.9541,17.9613,17.50213,17.1744,Null
1237671939804561603,GALAXY,258.226782216971,63.9924176782293,18.14211,16.19026,15.26385,14.82771,14.48931,0.08285826
1237671939804561640,GALAXY,258.258457858944,64.0522970884749,17.96696,15.81899,14.82889,14.39119,14.08146,Null
1237671939804561830,GALAXY,257.991871535819,64.0891509923163,18.85739,16.83767,15.92575,15.47749,15.12584,0.07968805
1237671939804561863,GALAXY,258.025565772461,64.0538945384168,21.63069,19.73771,18.90109,18.54704,18.26544,Null
1237671939804561927,GALAXY,258.135151500146,64.0028043255508,18.50876,16.4937,15.54861,15.11094,14.75904,0.0849261
1237671939804561997,GALAXY,258.230847152984,64.0292541978407,20.3571,18.21394,17.31192,16.87028,16.55889,0.080997
1237671939804626957,GALAXY,258.319438259385,64.0556882514591,19.20026,17.23247,16.31498,15.87319,15.56309,0.07458469
1237671939804626959,GALAXY,258.37130533882,64.046869286483,17.8016,15.65321,14.64711,14.21876,13.89673,0.07843956
1237671939804627265,GALAXY,258.265722440786,64.1171180015036,18.47112,16.47559,15.53158,15.08851,14.74372,0.08092269
1237671939804627306,GALAXY,258.340516614136,64.0690707198408,18.6956,16.64821,15.70953,15.27408,14.95218,0.0761909
1237671939804627307,GALAXY,258.329332563346,64.0768468051447,18.13652,16.10246,15.1578,14.72562,14.42412,0.08112399
1237671939804627308,GALAXY,258.313418594991,64.0732914439889,18.3631,16.29896,15.37289,14.93959,14.60695,Null
